nro;ubigeo;region;provincia;distrito;centro_poblado;2g;3g;4g;5g;lat;lon
68;105010014;AMAZONAS;LUYA;LAMUD;CUSHPAURCO;;SI;;;-6.13763;-77.96026
69;105010015;AMAZONAS;LUYA;LAMUD;CUILLCA;;SI;;;-6.12747;-77.9609
70;105010024;AMAZONAS;LUYA;LAMUD;COCHERA;;SI;;;-6.12312;-77.94195
71;105010031;AMAZONAS;LUYA;LAMUD;CONVENTO;;SI;;;-6.13527;-77.94298
72;105080008;AMAZONAS;LUYA;LONYA CHICO;TINCAS;;SI;;;-6.19772;-77.9208
73;105090004;AMAZONAS;LUYA;LUYA;JUISHA;;SI;;;-6.166451667;-77.95563333
74;105090006;AMAZONAS;LUYA;LUYA;CORAZON DE JESUS;;SI;;;-6.16795;-77.96912
75;105090009;AMAZONAS;LUYA;LUYA;COLMATA;;SI;;;-6.18197;-77.98371
76;105090010;AMAZONAS;LUYA;LUYA;EL MOLINO;;SI;;;-6.18333;-77.97133
77;105090011;AMAZONAS;LUYA;LUYA;TEJAPATA;;SI;;;-6.17797;-77.94254
78;105090012;AMAZONAS;LUYA;LUYA;PORTILLA;;;SI;;-6.15832;-77.94461
79;105090013;AMAZONAS;LUYA;LUYA;CHACAPAMPA;;;SI;;-6.16987;-77.94874
80;105090014;AMAZONAS;LUYA;LUYA;CUCHA;;SI;;;-6.17359;-77.95366
81;105090015;AMAZONAS;LUYA;LUYA;ORATORIO;;;SI;;-6.1627;-77.92979
82;106040004;AMAZONAS;RODRIGUEZ DE MENDOZA;HUAMBO;COLPA;;;SI;;-6.3995;-77.53183
83;106040006;AMAZONAS;RODRIGUEZ DE MENDOZA;HUAMBO;NARANJO ALEGRE;;;SI;;-6.40376;-77.5251
84;106040007;AMAZONAS;RODRIGUEZ DE MENDOZA;HUAMBO;TINTAMURO;;;SI;;-6.40349;-77.5095
85;106040009;AMAZONAS;RODRIGUEZ DE MENDOZA;HUAMBO;CHAQUIL;;;SI;;-6.40856;-77.51431
86;106040010;AMAZONAS;RODRIGUEZ DE MENDOZA;HUAMBO;LUCIA;;;SI;;-6.40725;-77.51759
87;106040011;AMAZONAS;RODRIGUEZ DE MENDOZA;HUAMBO;BATEA CUMBA;;;SI;;-6.40633;-77.5246
88;106010001;AMAZONAS;RODRIGUEZ DE MENDOZA;SAN NICOLAS;MENDOZA;;;SI;;-6.395966841;-77.48232393
89;106010004;AMAZONAS;RODRIGUEZ DE MENDOZA;SAN NICOLAS;JUANDIL;;;SI;;-6.39092;-77.49748
90;106010006;AMAZONAS;RODRIGUEZ DE MENDOZA;SAN NICOLAS;LIMON;;;SI;;-6.39339;-77.4919
91;106010008;AMAZONAS;RODRIGUEZ DE MENDOZA;SAN NICOLAS;CHOZ;;;SI;;-6.39088;-77.48866
92;106010009;AMAZONAS;RODRIGUEZ DE MENDOZA;SAN NICOLAS;CARAPUNGO;;;SI;;-6.39484;-77.4878
93;106010010;AMAZONAS;RODRIGUEZ DE MENDOZA;SAN NICOLAS;POTRERO;;;SI;;-6.38651;-77.47907
94;106010011;AMAZONAS;RODRIGUEZ DE MENDOZA;SAN NICOLAS;ONCHIC;;;SI;;-6.39675;-77.47664
95;106010014;AMAZONAS;RODRIGUEZ DE MENDOZA;SAN NICOLAS;HUARMIACO (HUARIMIACO);;;SI;;-6.39611;-77.46883
96;106010015;AMAZONAS;RODRIGUEZ DE MENDOZA;SAN NICOLAS;PIRHURO (PIRRURO);SI;;;;-6.400045;-77.45225667
97;106010018;AMAZONAS;RODRIGUEZ DE MENDOZA;SAN NICOLAS;CRUZ PATA;;;SI;;-6.40825;-77.45907
98;106010019;AMAZONAS;RODRIGUEZ DE MENDOZA;SAN NICOLAS;PARISTA;;;SI;;-6.40233;-77.46004
99;106010020;AMAZONAS;RODRIGUEZ DE MENDOZA;SAN NICOLAS;SHIPARA;;SI;;;-6.40697;-77.46447
100;106010022;AMAZONAS;RODRIGUEZ DE MENDOZA;SAN NICOLAS;CHACAPATA;;SI;;;-6.40798;-77.46293
101;106010024;AMAZONAS;RODRIGUEZ DE MENDOZA;SAN NICOLAS;NUEVA ESPERANZA;;;SI;;-6.412043333;-77.45235
102;106010025;AMAZONAS;RODRIGUEZ DE MENDOZA;SAN NICOLAS;SAUCE;;SI;;;-6.41342;-77.45778
103;106010028;AMAZONAS;RODRIGUEZ DE MENDOZA;SAN NICOLAS;CHALHUA IZQUIERDA;;;SI;;-6.41403;-77.44638
104;106010043;AMAZONAS;RODRIGUEZ DE MENDOZA;SAN NICOLAS;CALZADA;;;SI;;-6.39184;-77.47688
105;107010001;AMAZONAS;UTCUBAMBA;BAGUA GRANDE;BAGUA GRANDE;;;SI;;-5.754322725;-78.44198915
106;107010008;AMAZONAS;UTCUBAMBA;BAGUA GRANDE;MORERILLA;;SI;;;-5.73836;-78.45578
107;107010013;AMAZONAS;UTCUBAMBA;BAGUA GRANDE;EL SAUCE;;;SI;;-5.811043949;-78.48094522
108;107010014;AMAZONAS;UTCUBAMBA;BAGUA GRANDE;LA CRUZ;;;SI;;-5.826999826;-78.4925131
109;107010016;AMAZONAS;UTCUBAMBA;BAGUA GRANDE;ÑUNYA TEMPLE;;SI;;;-5.81759;-78.30886
110;107010017;AMAZONAS;UTCUBAMBA;BAGUA GRANDE;LA ESPERANZA (SANTA ELENA);;SI;;;-5.80753;-78.31951
111;107010033;AMAZONAS;UTCUBAMBA;BAGUA GRANDE;NOGAL;;;SI;;-5.84536;-78.4602
112;107010040;AMAZONAS;UTCUBAMBA;BAGUA GRANDE;LAS MERCEDES;;;SI;;-5.84386;-78.48005
113;107010045;AMAZONAS;UTCUBAMBA;BAGUA GRANDE;SEÑOR HUAMANTANGA;;SI;;;-5.840656416;-78.30797397
114;107040008;AMAZONAS;UTCUBAMBA;EL MILAGRO;LLIMBO;;SI;;;-5.65924;-78.54402
115;107040009;AMAZONAS;UTCUBAMBA;EL MILAGRO;HUARANGOPAMPA;;SI;;;-5.67111;-78.52533
116;107050002;AMAZONAS;UTCUBAMBA;JAMALCA;QUEBRADA HONDA;;SI;;;-5.81915;-78.30135
117;107050004;AMAZONAS;UTCUBAMBA;JAMALCA;ARENAL;;SI;;;-5.8189;-78.28364
118;107050006;AMAZONAS;UTCUBAMBA;JAMALCA;PUERTO PANAMA;;SI;;;-5.82577;-78.27064
119;107050016;AMAZONAS;UTCUBAMBA;JAMALCA;GUAYACAN;;SI;;;-5.880501667;-78.23127167
120;107010100;AMAZONAS;UTCUBAMBA;BAGUA GRANDE;CORRAL DE PIEDRA;;SI;;;-5.8417;-78.33056
121;107020001;AMAZONAS;UTCUBAMBA;CAJARURO;CAJARURO;;;SI;;-5.736050728;-78.42659636
122;107020003;AMAZONAS;UTCUBAMBA;CAJARURO;SANTA CRUZ DE MOROCHAL;;SI;;;-5.66258;-78.3604
123;106060018;AMAZONAS;RODRIGUEZ DE MENDOZA;LONGAR;SARGENTO;;;SI;;-6.39355;-77.51708
124;106070001;AMAZONAS;RODRIGUEZ DE MENDOZA;MARISCAL BENAVIDES;MARISCAL BENAVIDES;;SI;;;-6.386163508;-77.50440546
125;107020013;AMAZONAS;UTCUBAMBA;CAJARURO;MONTE DE LOS OLIVOS;;SI;;;-5.66436;-78.34639
126;107020017;AMAZONAS;UTCUBAMBA;CAJARURO;PROGRESO;;SI;;;-5.65537;-78.35549
127;107020019;AMAZONAS;UTCUBAMBA;CAJARURO;SANTA CLARA;;SI;;;-5.66272;-78.34817
128;107020031;AMAZONAS;UTCUBAMBA;CAJARURO;LA PALMA;;SI;;;-5.65395;-78.38974
129;107020044;AMAZONAS;UTCUBAMBA;CAJARURO;LUCERO;;SI;;;-5.70021;-78.33257
130;107020045;AMAZONAS;UTCUBAMBA;CAJARURO;EL BALCON;;;SI;;-5.69248;-78.36316
131;107020048;AMAZONAS;UTCUBAMBA;CAJARURO;VALENCIA;;SI;;;-5.67596;-78.37815
132;107020049;AMAZONAS;UTCUBAMBA;CAJARURO;SAN JOSE BAJO;;SI;;;-5.71365;-78.40506
133;107020050;AMAZONAS;UTCUBAMBA;CAJARURO;SEÑOR DE LOS MILAGROS;;SI;;;-5.71846;-78.38597
134;107020051;AMAZONAS;UTCUBAMBA;CAJARURO;COCA ENRRIQUE;;SI;;;-5.72505;-78.36592
135;107020052;AMAZONAS;UTCUBAMBA;CAJARURO;EL VERTIENTE;;SI;;;-5.70655;-78.3603
136;107020053;AMAZONAS;UTCUBAMBA;CAJARURO;SAN VALENTIN;;SI;;;-5.71157;-78.32625
137;107020054;AMAZONAS;UTCUBAMBA;CAJARURO;LIMONCITO;;SI;;;-5.7092;-78.34526
138;107020071;AMAZONAS;UTCUBAMBA;CAJARURO;CHUNGUINA ALTA;;SI;;;-5.73889;-78.38565
139;107020072;AMAZONAS;UTCUBAMBA;CAJARURO;CHIRIACO;;SI;;;-5.73165;-78.43463
140;107020074;AMAZONAS;UTCUBAMBA;CAJARURO;NUEVA ZELANDIA;;SI;;;-5.74018;-78.38717
141;107020075;AMAZONAS;UTCUBAMBA;CAJARURO;CHUNGUINA BAJA;;SI;;;-5.74681;-78.40568
142;107020076;AMAZONAS;UTCUBAMBA;CAJARURO;NARANJOS BAJO;;SI;;;-5.74332;-78.37357
143;107020089;AMAZONAS;UTCUBAMBA;CAJARURO;MANDINGAS BAJO;;SI;;;-5.79625;-78.27052
144;107020093;AMAZONAS;UTCUBAMBA;CAJARURO;EL CRUCE;;SI;;;-5.74854;-78.42213
145;107020094;AMAZONAS;UTCUBAMBA;CAJARURO;PUERTO NUEVO;;SI;;;-5.75719;-78.40983
146;107020099;AMAZONAS;UTCUBAMBA;CAJARURO;NARANJITOS ALTO;;SI;;;-5.80378;-78.26099
147;107020100;AMAZONAS;UTCUBAMBA;CAJARURO;NARANJITOS;;SI;;;-5.81846;-78.27535
148;107020102;AMAZONAS;UTCUBAMBA;CAJARURO;PANAMA;;SI;;;-5.82161;-78.25487
149;107020122;AMAZONAS;UTCUBAMBA;CAJARURO;TIGRES PAMPA;;SI;;;-5.82518;-78.23094
150;107020123;AMAZONAS;UTCUBAMBA;CAJARURO;HUINGO;;SI;;;-5.83162;-78.24192
151;107020139;AMAZONAS;UTCUBAMBA;CAJARURO;SAN FRANCISCO;;SI;;;-5.73966;-78.39778
152;201010138;ANCASH;HUARAZ;HUARAZ;COLLPASH;;;SI;;-9.5253;-77.48731
153;107050021;AMAZONAS;UTCUBAMBA;JAMALCA;PURURCO;;SI;;;-5.89218;-78.26297
154;107050022;AMAZONAS;UTCUBAMBA;JAMALCA;RAMON CASTILLA;;SI;;;-5.906912784;-78.26614625
155;201010001;ANCASH;HUARAZ;HUARAZ;HUARAZ;;;SI;;-9.530101525;-77.52895061
156;201010009;ANCASH;HUARAZ;HUARAZ;LOS PINOS;;;SI;;-9.52791;-77.51451
157;201010014;ANCASH;HUARAZ;HUARAZ;PEDREGAL ALTO (PEDREGAL);;;SI;;-9.5355;-77.52053
158;201010016;ANCASH;HUARAZ;HUARAZ;QUERAR;;SI;;;-9.53326;-77.5178
159;201010017;ANCASH;HUARAZ;HUARAZ;CHUNA MARA;;;SI;;-9.54267;-77.52205
160;201010020;ANCASH;HUARAZ;HUARAZ;MIYURURI;;SI;;;-9.53421;-77.53661
161;201010026;ANCASH;HUARAZ;HUARAZ;HUACAPAMPA;;SI;;;-9.53988;-77.53385
162;201010156;ANCASH;HUARAZ;HUARAZ;SEÑOR DE MAYO;;SI;;;-9.54367;-77.52622
163;201010157;ANCASH;HUARAZ;HUARAZ;BELLA VISTA;;;SI;;-9.542;-77.51868
164;201070029;ANCASH;HUARAZ;LA LIBERTAD;KERUSH;;SI;;;-9.63726;-77.76095
165;201070033;ANCASH;HUARAZ;LA LIBERTAD;ACAPA;SI;;;;-9.635766667;-77.77808833
166;201070038;ANCASH;HUARAZ;LA LIBERTAD;TAYAUCRO;;;SI;;-9.64503;-77.77231
167;201070042;ANCASH;HUARAZ;LA LIBERTAD;JONCO;;;SI;;-9.64673;-77.77094
168;201070050;ANCASH;HUARAZ;LA LIBERTAD;WINCHUZ;;;SI;;-9.63919;-77.76409
169;201070072;ANCASH;HUARAZ;LA LIBERTAD;ULAP (HULAP);;;SI;;-9.61799;-77.74455
170;201070073;ANCASH;HUARAZ;LA LIBERTAD;CEBADILLA PAMPA;;;SI;;-9.62038;-77.74278
171;201120001;ANCASH;HUARAZ;TARICA;TARICA;;;SI;;-9.393657786;-77.57543061
172;201120034;ANCASH;HUARAZ;TARICA;ISHINCA;;SI;;;-9.41555;-77.56474
173;201120035;ANCASH;HUARAZ;TARICA;MALLQUI;;SI;;;-9.39214;-77.57097
174;202010001;ANCASH;AIJA;AIJA;AIJA;;;SI;;-9.780181305;-77.61048579
175;201050040;ANCASH;HUARAZ;INDEPENDENCIA;TISHCO;;;SI;;-9.4936;-77.50458
176;201050041;ANCASH;HUARAZ;INDEPENDENCIA;HUACRA HIRCA;;SI;;;-9.49837;-77.5019
177;201050049;ANCASH;HUARAZ;INDEPENDENCIA;PUMPAC;;SI;;;-9.50141;-77.5103
178;201050054;ANCASH;HUARAZ;INDEPENDENCIA;CACHIPAMPA;;;SI;;-9.50664;-77.49351
179;201050055;ANCASH;HUARAZ;INDEPENDENCIA;TUKIPAYOC;;;SI;;-9.51078;-77.4918
180;201050056;ANCASH;HUARAZ;INDEPENDENCIA;SHANCAYAN ALTO (SHANCAYAN);;;SI;;-9.51107;-77.51886
181;201050059;ANCASH;HUARAZ;INDEPENDENCIA;PICUP;;SI;;;-9.51178;-77.53691
182;201050064;ANCASH;HUARAZ;INDEPENDENCIA;MARIAN ALTO (MARIAN);;;SI;;-9.51289;-77.50066
183;201050071;ANCASH;HUARAZ;INDEPENDENCIA;UNCHUS;;SI;;;-9.52014;-77.49184
184;201050108;ANCASH;HUARAZ;INDEPENDENCIA;COLLANA BAJO;;;SI;;-9.4709;-77.54327
185;201050112;ANCASH;HUARAZ;INDEPENDENCIA;OLLUCOYOC;;SI;;;-9.48903;-77.52265
186;201090128;ANCASH;HUARAZ;PAMPAS GRANDE;CINCUNA;;;SI;;-9.66833;-77.82403
187;201110005;ANCASH;HUARAZ;PIRA;SAN FRANCISCO DE MUQUI;;;SI;;-9.54689;-77.65952
188;201110012;ANCASH;HUARAZ;PIRA;SANTA CRUZ;;;SI;;-9.54911;-77.65425
189;201110033;ANCASH;HUARAZ;PIRA;MANCAN;SI;;;;-9.561373333;-77.66072333
190;201110034;ANCASH;HUARAZ;PIRA;SAN JUAN DE MAQUI;;;SI;;-9.5658;-77.65127
191;201050012;ANCASH;HUARAZ;INDEPENDENCIA;APAHUAIN;;SI;;;-9.47118;-77.51931
192;201050014;ANCASH;HUARAZ;INDEPENDENCIA;CHICNEY;;;SI;;-9.46116;-77.54579
193;201050020;ANCASH;HUARAZ;INDEPENDENCIA;MATCOR;;SI;;;-9.47147;-77.51932
194;201050021;ANCASH;HUARAZ;INDEPENDENCIA;SAN MARTIN DE PARIA;;;SI;;-9.477275609;-77.52751647
195;201050025;ANCASH;HUARAZ;INDEPENDENCIA;SANTA CASA;;SI;;;-9.48312;-77.54049
196;201050027;ANCASH;HUARAZ;INDEPENDENCIA;MARCAC;;SI;;;-9.48612;-77.54191
197;201050028;ANCASH;HUARAZ;INDEPENDENCIA;UQUIA;;;SI;;-9.48983;-77.50255
198;201050030;ANCASH;HUARAZ;INDEPENDENCIA;CHEQUIO ALTO (CHEQUIO);;;SI;;-9.4882;-77.52862
199;201050031;ANCASH;HUARAZ;INDEPENDENCIA;MIRAFLORES;;;SI;;-9.50227;-77.5381
200;201050036;ANCASH;HUARAZ;INDEPENDENCIA;SANTA ROSA ALTA;;SI;;;-9.4914;-77.50894
201;201050037;ANCASH;HUARAZ;INDEPENDENCIA;JINUA;;;SI;;-9.49568;-77.51456
202;201050039;ANCASH;HUARAZ;INDEPENDENCIA;ICHIC RURI;;;SI;;-9.4998398;-77.49906
203;201050115;ANCASH;HUARAZ;INDEPENDENCIA;ZEGZE PAMPA;;SI;;;-9.4835;-77.502
204;201050119;ANCASH;HUARAZ;INDEPENDENCIA;SHINUA RURI;;;SI;;-9.50422;-77.50073
205;201050120;ANCASH;HUARAZ;INDEPENDENCIA;SAN ISIDRO;;SI;;;-9.4794;-77.54616
206;201050123;ANCASH;HUARAZ;INDEPENDENCIA;YURACYACU;;SI;;;-9.50517;-77.48662
207;201050129;ANCASH;HUARAZ;INDEPENDENCIA;SANTA ROSA BAJA;;SI;;;-9.49339;-77.51817
208;201060002;ANCASH;HUARAZ;JANGAS;SANTA ROSA;;SI;;;-9.3943906;-77.58192
209;201060032;ANCASH;HUARAZ;JANGAS;CULLUNAYOC;;SI;;;-9.41896;-77.58945
210;201070001;ANCASH;HUARAZ;LA LIBERTAD;CAJAMARQUILLA;;;SI;;-9.63292;-77.7416
211;201070008;ANCASH;HUARAZ;LA LIBERTAD;CASHO;;;SI;;-9.61322;-77.7466
212;201070010;ANCASH;HUARAZ;LA LIBERTAD;CRUZ;;;SI;;-9.61107;-77.74706
213;201070015;ANCASH;HUARAZ;LA LIBERTAD;AYAMACHE;;SI;;;-9.62029;-77.74413
214;201070019;ANCASH;HUARAZ;LA LIBERTAD;CHINCHELLAC;;SI;;;-9.61898;-77.73715
215;201070020;ANCASH;HUARAZ;LA LIBERTAD;TENAJA;SI;;;;-9.620288333;-77.74406167
216;203040030;ANCASH;ANTONIO RAYMONDI;CHINGAS;POMABAMBA;;SI;;;-9.12605;-77.03968
217;203010001;ANCASH;ANTONIO RAYMONDI;LLAMELLIN;LLAMELLIN;;;SI;;-9.100972334;-77.01681224
218;203010024;ANCASH;ANTONIO RAYMONDI;LLAMELLIN;JANAYPAMPA;;;SI;;-9.09481;-77.02199
219;203010025;ANCASH;ANTONIO RAYMONDI;LLAMELLIN;MALLALLIN;;;SI;;-9.09455;-77.01503
220;203010026;ANCASH;ANTONIO RAYMONDI;LLAMELLIN;PULLO UCRO;;;SI;;-9.0951;-77.01283
221;203010027;ANCASH;ANTONIO RAYMONDI;LLAMELLIN;JIRABAMBA;;;SI;;-9.10344;-77.00887
222;203010028;ANCASH;ANTONIO RAYMONDI;LLAMELLIN;AJOS UCRO;;;SI;;-9.10347;-77.02175
223;203010030;ANCASH;ANTONIO RAYMONDI;LLAMELLIN;CIRCO (SAN FRANCISCO DE CIRCO);;;SI;;-9.10707;-77.02769
224;203010031;ANCASH;ANTONIO RAYMONDI;LLAMELLIN;YATACANCHA;;;SI;;-9.105358333;-77.02405167
225;203010032;ANCASH;ANTONIO RAYMONDI;LLAMELLIN;TEGUE;;;SI;;-9.10186;-77.00492
226;203010033;ANCASH;ANTONIO RAYMONDI;LLAMELLIN;PACHAPAQUI;;;SI;;-9.10816;-77.00418
227;203010034;ANCASH;ANTONIO RAYMONDI;LLAMELLIN;HUALLPA MITZIMAN;;;SI;;-9.10851;-77.0116
228;203010035;ANCASH;ANTONIO RAYMONDI;LLAMELLIN;CHINCHIMAN;;;SI;;-9.10884;-77.00819
229;203010036;ANCASH;ANTONIO RAYMONDI;LLAMELLIN;COLCABAMBA;;;SI;;-9.10931;-76.99594
230;203010042;ANCASH;ANTONIO RAYMONDI;LLAMELLIN;SOCOS;;SI;;;-9.10986;-76.99968
231;203010043;ANCASH;ANTONIO RAYMONDI;LLAMELLIN;LUCMA;;;SI;;-9.11361;-76.9997
232;203010044;ANCASH;ANTONIO RAYMONDI;LLAMELLIN;CHALLHUA;;;SI;;-9.11393;-77.00508
233;203010045;ANCASH;ANTONIO RAYMONDI;LLAMELLIN;MULLIGIRCAN;;;SI;;-9.115;-77.00886
234;203010046;ANCASH;ANTONIO RAYMONDI;LLAMELLIN;ATAPA;;;SI;;-9.11049;-77.01396
235;203010047;ANCASH;ANTONIO RAYMONDI;LLAMELLIN;HUAYTAYOC;;;SI;;-9.10912;-77.0247
236;203010048;ANCASH;ANTONIO RAYMONDI;LLAMELLIN;QAQASH;;;SI;;-9.11205;-77.02932
237;203010050;ANCASH;ANTONIO RAYMONDI;LLAMELLIN;LLEGLLISH;;;SI;;-9.11326;-77.03507
